c,theta,network,optimal_tau
0.12000000000000001,0.8,G2,0.13291972826571816
0.12000000000000001,0.8,G3,0.08902959076254481
0.12000000000000001,0.9,G1,0.015329182073254092
0.12000000000000001,0.9,G2,0.12276614653579465
0.12000000000000001,0.9,G3,0.08204149225388987
0.12000000000000001,1.0,G1,0.014274672562889317
0.12000000000000001,1.0,G2,0.11451157670104599
0.12000000000000001,1.0,G3,0.07619813776492391
0.12000000000000001,1.1,G1,0.013378740763327882
0.12000000000000001,1.1,G2,0.10769477366267018
0.12000000000000001,1.1,G3,0.07126505034836761
0.12000000000000001,1.2000000000000002,G1,0.012610771916498498
0.12000000000000001,1.2000000000000002,G2,0.10198949039383763
0.12000000000000001,1.2000000000000002,G3,0.06707194952885355
0.12000000000000001,1.3,G1,0.011945484972651214
0.12000000000000001,1.3,G2,0.09715362475112244
0.12000000000000001,1.3,G3,0.06347393415605236
0.12000000000000001,1.4000000000000001,G1,0.011367792829459112
0.12000000000000001,1.4000000000000001,G2,0.09301549497352922
0.12000000000000001,1.4000000000000001,G3,0.06036512815780054
0.12000000000000001,1.5,G1,0.010862418722727845
0.12000000000000001,1.5,G2,0.08944046175544015
0.12000000000000001,1.5,G3,0.05766237790689192
0.12000000000000001,1.6,G1,0.01041649820544693
0.12000000000000001,1.6,G2,0.0863265202084118
0.12000000000000001,1.6,G3,0.05529715325681308
0.12000000000000001,1.7000000000000002,G1,0.010021889438206153
0.12000000000000001,1.7000000000000002,G2,0.08359343818810777
0.12000000000000001,1.7000000000000002,G3,0.05321625015212759
0.12000000000000001,1.8,G1,0.009669823498587254
0.12000000000000001,1.8,G2,0.08118172806575183
0.12000000000000001,1.8,G3,0.051372626266175704
0.12000000000000001,1.9000000000000001,G1,0.009355683602679406
0.12000000000000001,1.9000000000000001,G2,0.07904187164082667
0.12000000000000001,1.9000000000000001,G3,0.04973768590363815
0.12000000000000001,2.0,G1,0.009074971149263741
0.12000000000000001,2.0,G2,0.07712737750542505
0.12000000000000001,2.0,G3,0.04827436811748455
0.13999999999999999,0.0,G1,0.04348544517100496
0.13999999999999999,0.0,G2,0.45997586725734624
0.13999999999999999,0.0,G3,0.24118181531008906
0.13999999999999999,0.1,G1,0.03769953160844304
0.13999999999999999,0.1,G2,0.37242945377015824
0.13999999999999999,0.1,G3,0.2082004134376198
0.13999999999999999,0.2,G1,0.032886033060838454
0.13999999999999999,0.2,G2,0.3062569582581981
0.13999999999999999,0.2,G3,0.18088109244961764
0.13999999999999999,0.30000000000000004,G1,0.028903542875065084
0.13999999999999999,0.30000000000000004,G2,0.2566416729871169
0.13999999999999999,0.30000000000000004,G3,0.15836258640691317
0.13999999999999999,0.4,G1,0.02563411454930173
0.13999999999999999,0.4,G2,0.21961972736540344
0.13999999999999999,0.4,G3,0.13989223323641853
0.13999999999999999,0.5,G1,0.022958673337341834
0.13999999999999999,0.5,G2,0.19191162948566814
0.13999999999999999,0.5,G3,0.12478646551659031
0.13999999999999999,0.6000000000000001,G1,0.020769420512925404
0.13999999999999999,0.6000000000000001,G2,0.17093811362224795
0.13999999999999999,0.6000000000000001,G3,0.11243717714102865
0.13999999999999999,0.7000000000000001,G1,0.018969498889314398
0.13999999999999999,0.7000000000000001,G2,0.15477950421657527
0.13999999999999999,0.7000000000000001,G3,0.10231495159315607
0.13999999999999999,0.8,G1,0.017479148192743654
0.13999999999999999,0.8,G2,0.1420897147279983
0.13999999999999999,0.8,G3,0.09396716846097712
0.13999999999999999,0.9,G1,0.01623435062462175
0.13999999999999999,0.9,G2,0.13193027352594902
0.13999999999999999,0.9,G3,0.08703534545941283
0.13999999999999999,1.0,G1,0.01518315333291055
0.13999999999999999,1.0,G2,0.12365732756979088
0.13999999999999999,1.0,G3,0.08122945376385687
0.13999999999999999,1.1,G1,0.014290945179074985
0.13999999999999999,1.1,G2,0.11681354549973111
0.13999999999999999,1.1,G3,0.07632187789196293
0.13999999999999999,1.2000000000000002,G1,0.01352498638101598
0.13999999999999999,1.2000000000000002,G2,0.11107577439801554
0.13999999999999999,1.2000000000000002,G3,0.0721407404435199
0.13999999999999999,1.3,G1,0.012859673796308226
